,Time,Polarity
0,2015-03-15,0.3832325803372574
1,2015-12-15,0.4155667295202179
2,2016-01-16,0.41574973031283713
3,2016-03-16,0.416135881104034
4,2016-04-16,0.4157917291622027
5,2016-05-16,0.4187733567817103
6,2016-06-16,0.4159947701024188
7,2016-07-16,0.41500547645125957
8,2016-08-16,0.417643157196551
9,2016-09-16,0.41939791211459093
10,2016-10-16,0.41780338664158045
11,2016-11-16,0.4177655238551906
12,2017-01-17,0.41749291784702547
13,2017-04-17,0.41626564003849853
14,2017-05-17,0.4155954402134368
15,2017-08-17,0.43016298741489584
16,2017-09-17,0.4318849706129303
17,2017-12-17,0.43154953793251666
18,2018-02-18,0.4193337687785761
19,2018-02-18,0.43275109170305676
20,2018-03-18,0.40978348035284684
21,2018-04-18,0.4100040176777822
22,2018-05-18,0.43341458010192774
23,2018-06-18,0.43391825855175475
24,2018-07-18,0.4327264653641208
25,2018-09-18,0.40645869108948673
26,2018-11-18,0.40620207055214724
27,2018-11-18,0.40739147064448267
28,2018-12-18,0.38641924959216967
