,,Date,yes_d,yes_r,no_d,no_r,polarity
113,930,2014-06-10,5,176,189,51,-0.7339667458432304
113,931,2014-06-10,178,30,16,196,0.780952380952381
113,932,2014-06-10,3,164,190,60,-0.697841726618705
113,933,2014-06-10,0,167,194,60,-0.7149643705463183
113,934,2014-06-10,195,0,0,227,1.0
113,935,2014-06-10,14,215,181,12,-0.8767772511848341
113,936,2014-06-11,0,224,194,0,-1.0
113,937,2014-06-11,4,223,188,1,-0.9759615384615384
113,938,2014-06-11,5,173,188,55,-0.7149643705463183
113,939,2014-06-11,1,129,191,99,-0.5238095238095238
113,940,2014-06-11,130,93,63,135,0.2589073634204275
113,941,2014-06-11,135,15,60,212,0.6445497630331753
113,942,2014-06-11,131,17,65,211,0.6132075471698113
113,943,2014-06-11,2,117,193,110,-0.46919431279620855
113,944,2014-06-11,2,60,191,167,-0.19523809523809524
113,945,2014-06-11,189,5,5,222,0.9524940617577197
113,946,2014-06-12,180,0,8,224,0.9611650485436893
113,947,2014-06-12,53,219,143,2,-0.7362110311750599
113,948,2014-06-12,188,0,7,222,0.9664268585131894
113,949,2014-06-12,42,221,154,2,-0.7899761336515513
113,950,2014-06-12,191,220,0,2,-0.06537530266343826
113,951,2014-06-17,182,214,0,0,-0.08080808080808081
113,952,2014-06-17,180,218,0,0,-0.09547738693467336
113,953,2014-06-18,24,220,163,0,-0.8820638820638821
113,954,2014-06-18,195,3,0,220,0.9856459330143541
113,955,2014-06-19,5,225,184,0,-0.9758454106280193
113,956,2014-06-19,19,111,174,118,-0.35071090047393366
113,957,2014-06-19,175,4,18,224,0.8954869358669834
113,958,2014-06-19,180,7,12,221,0.9095238095238095
113,959,2014-06-19,17,221,176,4,-0.8995215311004785
113,960,2014-06-19,145,155,41,73,0.05314009661835749
113,961,2014-06-19,12,218,175,10,-0.8939759036144578
113,962,2014-06-19,160,4,25,224,0.8595641646489104
113,963,2014-06-19,142,23,44,206,0.6771084337349398
113,964,2014-06-19,151,31,35,196,0.6803874092009685
113,965,2014-06-19,158,135,29,94,0.21153846153846154
113,966,2014-06-19,64,103,123,121,-0.09975669099756691
113,967,2014-06-19,43,19,145,210,0.21342925659472423
113,968,2014-06-19,136,21,52,208,0.6498800959232613
113,969,2014-06-19,187,25,0,204,0.8798076923076923
113,970,2014-06-20,133,20,53,207,0.6464891041162227
113,971,2014-06-20,19,73,168,152,-0.16990291262135923
113,972,2014-06-20,2,203,185,23,-0.8789346246973365
113,973,2014-06-20,68,212,119,14,-0.6029055690072639
113,974,2014-06-20,24,139,163,85,-0.46958637469586373
113,975,2014-06-20,188,2,0,220,0.9902439024390244
113,976,2014-06-20,121,219,68,6,-0.3864734299516908
113,977,2014-06-23,165,205,12,0,-0.13612565445026178
113,978,2014-06-23,177,202,0,3,-0.05759162303664921
113,979,2014-06-24,0,219,184,0,-1.0
113,980,2014-06-24,1,220,186,0,-0.995085995085995
113,981,2014-06-24,162,1,29,220,0.8543689320388349
113,982,2014-06-24,168,0,22,220,0.8926829268292683
113,983,2014-06-24,172,1,19,220,0.9029126213592233
113,984,2014-06-24,171,6,20,213,0.8731707317073171
113,985,2014-06-24,33,219,156,2,-0.8292682926829268
113,986,2014-06-24,190,1,1,219,0.9902676399026764
113,987,2014-06-24,46,219,144,1,-0.7707317073170732
113,988,2014-06-24,175,1,11,222,0.941320293398533
113,989,2014-06-24,171,0,17,223,0.9172749391727494
113,990,2014-06-24,175,1,12,222,0.9365853658536586
113,991,2014-06-24,185,0,4,223,0.9805825242718447
113,992,2014-06-24,17,221,173,1,-0.912621359223301
113,993,2014-06-25,14,224,180,0,-0.9330143540669856
113,994,2014-06-25,5,223,189,0,-0.9760191846522782
113,995,2014-06-25,185,11,9,212,0.9040767386091128
113,996,2014-06-25,190,2,3,222,0.9760191846522782
113,997,2014-06-25,46,220,148,2,-0.7692307692307693
113,998,2014-06-26,19,225,170,2,-0.8990384615384616
113,999,2014-06-26,178,1,8,224,0.9562043795620438
113,1000,2014-06-26,179,4,5,222,0.9560975609756097
113,1001,2014-06-26,183,5,3,220,0.9610705596107056
113,1002,2014-06-26,174,5,12,217,0.9166666666666666
113,1003,2014-06-26,17,224,171,2,-0.9082125603864735
113,1004,2014-06-26,185,4,2,221,0.970873786407767
113,1005,2014-06-26,176,1,11,224,0.941747572815534
113,1006,2014-06-26,10,219,179,6,-0.9227053140096618
113,1007,2014-07-08,178,197,0,19,0.0
113,1008,2014-07-08,178,215,0,0,-0.09414758269720101
113,1009,2014-07-09,4,128,185,99,-0.5048076923076923
113,1010,2014-07-09,171,110,21,116,0.37320574162679426
113,1011,2014-07-09,3,101,189,127,-0.38095238095238093
113,1012,2014-07-09,2,110,190,119,-0.4251781472684085
113,1013,2014-07-09,168,4,21,224,0.8800959232613909
113,1014,2014-07-09,0,110,192,118,-0.4380952380952381
113,1015,2014-07-09,0,97,190,131,-0.37320574162679426
113,1016,2014-07-09,193,223,0,6,-0.05687203791469194
113,1017,2014-07-10,0,129,192,98,-0.5322195704057279
113,1018,2014-07-10,188,33,4,195,0.8238095238095238
113,1019,2014-07-10,117,67,75,160,0.3221957040572792
113,1020,2014-07-10,69,6,122,222,0.38902147971360385
113,1021,2014-07-10,189,27,4,201,0.8527315914489311
113,1022,2014-07-10,161,20,31,208,0.7571428571428571
113,1023,2014-07-10,17,159,174,69,-0.5894988066825776
113,1024,2014-07-10,89,7,104,222,0.47393364928909953
113,1025,2014-07-10,187,34,6,194,0.8099762470308789
113,1026,2014-07-10,0,181,193,46,-0.780952380952381
113,1027,2014-07-10,3,224,190,1,-0.9808612440191388
113,1028,2014-07-10,5,227,185,2,-0.9665871121718377
113,1029,2014-07-10,0,229,192,0,-1.0
113,1030,2014-07-10,5,229,188,0,-0.976303317535545
113,1031,2014-07-10,3,223,190,3,-0.9713603818615751
113,1032,2014-07-10,15,224,179,3,-0.9144893111638955
113,1033,2014-07-10,0,140,194,88,-0.5829383886255924
113,1034,2014-07-10,2,216,192,12,-0.933649289099526
113,1035,2014-07-10,5,224,187,1,-0.9712230215827338
113,1036,2014-07-10,3,147,191,80,-0.6057007125890737
113,1037,2014-07-10,2,224,191,3,-0.9761904761904762
113,1038,2014-07-10,0,131,193,96,-0.5428571428571428
113,1039,2014-07-10,188,0,3,228,0.9856801909307876
113,1040,2014-07-10,35,218,160,11,-0.7830188679245284
113,1041,2014-07-11,191,0,3,226,0.9857142857142858
113,1042,2014-07-11,34,224,159,2,-0.8281622911694511
113,1043,2014-07-14,180,206,0,0,-0.06735751295336788
113,1044,2014-07-14,181,165,0,41,0.14728682170542637
113,1045,2014-07-15,4,224,192,0,-0.9809523809523809
113,1046,2014-07-15,11,220,184,2,-0.9376498800959233
113,1047,2014-07-15,148,13,46,212,0.7183770883054893
113,1048,2014-07-15,116,222,78,2,-0.4354066985645933
113,1049,2014-07-15,170,1,23,221,0.8843373493975903
113,1050,2014-07-15,184,1,11,224,0.9428571428571428
113,1051,2014-07-15,193,0,3,224,0.9857142857142858
113,1052,2014-07-15,187,181,10,45,0.09692671394799054
113,1053,2014-07-16,7,179,190,46,-0.7488151658767772
113,1054,2014-07-16,57,225,138,0,-0.7285714285714285
113,1055,2014-07-16,193,0,5,225,0.9763593380614657
113,1056,2014-07-16,186,45,12,180,0.7304964539007093
113,1057,2014-07-16,128,223,70,1,-0.3886255924170616
113,1058,2014-07-16,42,222,154,3,-0.7862232779097387
113,1059,2014-07-16,3,165,195,61,-0.6981132075471698
113,1060,2014-07-16,17,222,181,3,-0.9054373522458629
113,1061,2014-07-16,2,221,196,4,-0.9716312056737588
113,1062,2014-07-16,4,225,194,0,-0.9810874704491725
113,1063,2014-07-16,20,221,177,4,-0.8862559241706162
113,1064,2014-07-16,198,0,0,225,1.0
113,1065,2014-07-16,6,222,192,4,-0.9528301886792453
113,1066,2014-07-17,4,222,186,0,-0.9805825242718447
113,1067,2014-07-17,7,223,183,0,-0.9661016949152542
113,1068,2014-07-17,188,13,2,211,0.927536231884058
113,1069,2014-07-17,185,0,4,223,0.9805825242718447
113,1070,2014-07-17,56,221,130,1,-0.7205882352941176
113,1071,2014-07-22,183,164,0,57,0.18811881188118812
113,1072,2014-07-22,183,221,0,0,-0.09405940594059406
113,1073,2014-07-22,182,78,1,142,0.607940446650124
113,1074,2014-07-22,180,11,0,207,0.9447236180904522
113,1075,2014-07-23,0,224,190,0,-1.0
113,1076,2014-07-23,7,223,185,0,-0.9662650602409638
113,1077,2014-07-23,189,224,0,0,-0.0847457627118644
113,1078,2014-07-23,192,2,0,221,0.9903614457831326
113,1079,2014-07-23,189,225,0,0,-0.08695652173913043
113,1080,2014-07-24,1,225,190,1,-0.9904076738609112
113,1081,2014-07-24,1,225,189,0,-0.9951807228915662
113,1082,2014-07-24,193,211,0,14,-0.009569377990430622
113,1083,2014-07-24,190,3,0,220,0.9854721549636803
113,1084,2014-07-24,191,214,0,11,-0.028846153846153848
113,1085,2014-07-24,189,220,0,0,-0.07579462102689487
113,1086,2014-07-24,193,2,0,219,0.9903381642512077
113,1087,2014-07-24,32,195,162,26,-0.7204819277108434
113,1088,2014-07-24,192,13,0,207,0.9368932038834952
113,1089,2014-07-25,25,212,169,5,-0.8540145985401459
113,1090,2014-07-25,190,180,3,37,0.1073170731707317
113,1091,2014-07-25,191,22,0,193,0.8916256157635468
113,1092,2014-07-25,189,210,0,0,-0.05263157894736842
113,1093,2014-07-28,37,216,148,0,-0.8154613466334164
113,1094,2014-07-28,185,215,0,0,-0.075
113,1095,2014-07-28,185,210,0,8,-0.04218362282878412
113,1096,2014-07-29,0,224,192,0,-1.0
113,1097,2014-07-29,2,223,192,0,-0.9904076738609112
113,1098,2014-07-29,188,0,3,224,0.9855421686746988
113,1099,2014-07-29,195,10,2,213,0.9428571428571428
113,1100,2014-07-29,196,1,0,225,0.995260663507109
113,1101,2014-07-29,14,219,183,8,-0.8962264150943396
113,1102,2014-07-29,193,193,2,30,0.06698564593301436
113,1103,2014-07-30,0,227,195,0,-1.0
113,1104,2014-07-30,0,227,195,1,-0.9952718676122931
113,1105,2014-07-30,195,225,0,5,-0.058823529411764705
113,1106,2014-07-30,0,225,197,5,-0.9765807962529274
113,1107,2014-07-31,195,0,3,230,0.985981308411215
113,1108,2014-07-31,37,230,161,0,-0.8271028037383178
113,1109,2014-07-31,2,224,196,2,-0.9811320754716981
113,1110,2014-07-31,0,220,198,7,-0.9670588235294117
113,1111,2014-07-31,45,227,148,2,-0.7772511848341233
113,1112,2014-08-01,0,226,184,0,-1.0
113,1113,2014-08-01,0,219,184,6,-0.9706601466992665
113,1114,2014-08-01,0,226,183,0,-1.0
113,1115,2014-08-01,0,218,185,6,-0.9706601466992665
113,1116,2014-08-01,1,222,186,4,-0.9757869249394673
113,1117,2014-08-01,4,212,181,11,-0.9264705882352942
113,1118,2014-08-01,181,214,4,4,-0.08188585607940446
113,1119,2014-09-08,179,222,0,0,-0.10723192019950124
113,1120,2014-09-08,177,222,0,0,-0.11278195488721804
113,1121,2014-09-08,180,218,0,1,-0.09273182957393483
113,1122,2014-09-09,7,222,179,0,-0.9656862745098039
113,1123,2014-09-09,22,227,163,0,-0.8932038834951457
113,1124,2014-09-09,161,2,22,226,0.8832116788321168
113,1125,2014-09-09,170,0,12,228,0.9414634146341463
113,1126,2014-09-09,177,0,8,227,0.9611650485436893
113,1127,2014-09-09,35,227,152,1,-0.8265060240963855
113,1128,2014-09-10,0,227,196,0,-1.0
113,1129,2014-09-10,5,228,187,0,-0.9761904761904762
113,1130,2014-09-10,195,227,0,2,-0.07075471698113207
113,1131,2014-09-10,194,228,0,0,-0.08056872037914692
113,1132,2014-09-11,185,2,3,220,0.975609756097561
113,1133,2014-09-11,25,222,168,0,-0.8795180722891566
113,1134,2014-09-11,187,215,0,0,-0.06965174129353234
113,1135,2014-09-15,154,173,0,22,0.008595988538681949
113,1136,2014-09-16,2,222,188,0,-0.9902912621359223
113,1137,2014-09-16,5,216,186,6,-0.9467312348668281
113,1138,2014-09-16,191,219,0,4,-0.057971014492753624
113,1139,2014-09-16,95,225,101,1,-0.5450236966824644
113,1140,2014-09-16,100,227,96,1,-0.5235849056603774
113,1141,2014-09-16,193,166,3,61,0.20094562647754138
113,1142,2014-09-17,106,227,91,1,-0.4964705882352941
113,1143,2014-09-17,197,226,0,0,-0.06855791962174941
113,1144,2014-09-17,195,224,0,0,-0.06921241050119331
113,1145,2014-09-17,115,159,85,71,-0.13488372093023257
113,1146,2014-09-17,199,0,0,228,1.0
113,1147,2014-09-17,144,176,55,53,-0.0794392523364486
113,1148,2014-09-18,0,226,195,0,-1.0
113,1149,2014-09-18,2,225,193,0,-0.9904761904761905
113,1150,2014-09-18,191,0,1,217,0.9951100244498777
113,1151,2014-09-18,32,221,163,1,-0.841726618705036
113,1152,2014-09-18,193,0,0,222,1.0
113,1153,2014-09-18,9,217,185,7,-0.9234449760765551
113,1154,2014-11-12,173,209,0,0,-0.09424083769633508
113,1155,2014-11-13,8,225,185,0,-0.9617224880382775
113,1156,2014-11-14,192,0,0,224,1.0
113,1157,2014-11-14,31,221,162,0,-0.8502415458937198
113,1158,2014-11-17,171,207,0,1,-0.09234828496042216
113,1159,2014-11-18,0,225,190,0,-1.0
113,1160,2014-11-18,0,227,192,0,-1.0
113,1161,2014-11-18,9,223,184,0,-0.9567307692307693
113,1162,2014-11-18,194,1,1,224,0.9904761904761905
113,1163,2014-11-18,4,225,191,1,-0.9762470308788599
113,1164,2014-11-19,194,1,1,229,0.9905882352941177
113,1165,2014-11-19,196,0,0,230,1.0
113,1166,2014-11-19,8,229,190,1,-0.9579439252336449
113,1167,2014-11-20,182,1,3,222,0.9803921568627451
113,1168,2014-11-20,189,0,0,223,1.0
113,1169,2014-11-20,16,222,173,0,-0.9221411192214112
113,1170,2014-12-01,173,201,0,11,-0.04415584415584416
113,1171,2014-12-01,172,214,0,0,-0.10880829015544041
113,1172,2014-12-02,190,224,0,0,-0.0821256038647343
113,1173,2014-12-02,192,226,0,0,-0.08133971291866028
113,1174,2014-12-02,191,219,0,7,-0.050359712230215826
113,1175,2014-12-02,192,228,0,0,-0.08571428571428572
113,1176,2014-12-02,193,229,0,0,-0.08530805687203792
113,1177,2014-12-02,192,226,0,3,-0.07363420427553444
113,1178,2014-12-03,7,224,189,3,-0.9527186761229315
113,1179,2014-12-03,191,222,3,0,-0.08173076923076923
113,1180,2014-12-03,121,154,68,69,-0.07766990291262135
113,1181,2014-12-03,195,2,0,223,0.9904761904761905
113,1182,2014-12-03,176,202,20,26,-0.04716981132075472
113,1183,2014-12-03,183,221,12,5,-0.10688836104513064
113,1184,2014-12-04,0,227,191,0,-1.0
113,1185,2014-12-04,5,227,190,1,-0.9716312056737588
113,1186,2014-12-04,189,222,5,5,-0.07838479809976247
113,1187,2014-12-04,194,0,0,225,1.0
113,1188,2014-12-04,3,216,191,7,-0.9520383693045563
113,1189,2014-12-04,106,194,87,32,-0.3412887828162291
113,1190,2014-12-09,182,0,3,225,0.9853658536585366
113,1191,2014-12-09,6,224,183,0,-0.9709443099273608
113,1192,2014-12-10,5,226,189,0,-0.9761904761904762
113,1193,2014-12-10,190,226,0,0,-0.08653846153846154
113,1194,2014-12-10,120,141,71,84,-0.019230769230769232
113,1195,2014-12-10,196,221,0,7,-0.04245283018867924
113,1196,2014-12-10,141,184,55,45,-0.12470588235294118
113,1197,2014-12-10,196,229,0,0,-0.07764705882352942
113,1198,2014-12-10,194,222,1,4,-0.05938242280285035
113,1199,2014-12-11,1,214,196,16,-0.9203747072599532
113,1200,2014-12-11,47,228,150,0,-0.7788235294117647
113,1201,2014-12-11,58,162,139,67,-0.4131455399061033
113,1202,2014-12-11,186,175,1,38,0.12
114,1,2015-01-06,0,216,168,24,-0.8823529411764706
114,2,2015-01-06,0,230,160,0,-1.0
114,3,2015-01-06,0,239,167,1,-0.995085995085995
114,4,2015-01-06,168,0,4,239,0.9805352798053528
114,5,2015-01-06,0,234,168,4,-0.9802955665024631
114,6,2015-01-06,172,240,0,0,-0.1650485436893204
114,7,2015-01-07,179,237,0,5,-0.12589073634204276
114,8,2015-01-07,35,241,146,1,-0.8297872340425532
114,9,2015-01-07,180,201,0,39,0.04285714285714286
114,10,2015-01-08,1,239,180,0,-0.9952380952380953
114,11,2015-01-08,3,241,181,0,-0.9858823529411764
114,12,2015-01-08,179,0,4,240,0.9810874704491725
114,13,2015-01-08,12,240,173,0,-0.9435294117647058
114,14,2015-01-09,180,0,0,237,1.0
114,15,2015-01-09,28,238,154,0,-0.8666666666666667
114,16,2015-01-12,169,234,0,0,-0.16129032258064516
114,17,2015-01-12,169,232,0,0,-0.1571072319201995
114,18,2015-01-12,105,152,53,75,-0.06493506493506493
114,19,2015-01-13,0,242,181,0,-1.0
114,20,2015-01-13,1,241,180,0,-0.995260663507109
114,21,2015-01-13,108,153,72,88,-0.0688836104513064
114,22,2015-01-13,13,241,168,0,-0.9383886255924171
114,23,2015-01-13,177,1,6,241,0.9670588235294117
114,24,2015-01-13,176,0,7,242,0.9670588235294117
114,25,2015-01-13,177,1,6,242,0.9671361502347418
114,26,2015-01-13,180,0,2,243,0.9905882352941177
114,27,2015-01-13,8,242,176,0,-0.9624413145539906
114,28,2015-01-14,0,237,184,7,-0.9672897196261683
114,29,2015-01-14,0,218,184,26,-0.8785046728971962
114,30,2015-01-14,35,243,148,1,-0.8313817330210773
114,31,2015-01-14,14,239,169,2,-0.9245283018867925
114,32,2015-01-14,17,243,166,1,-0.9156908665105387
114,33,2015-01-14,184,0,0,244,1.0
114,34,2015-01-14,2,234,182,10,-0.9439252336448598
114,35,2015-01-14,182,1,0,242,0.9952941176470588
114,36,2015-01-14,29,242,154,1,-0.8591549295774648
114,37,2015-01-21,0,238,182,0,-1.0
114,38,2015-01-21,1,237,181,0,-0.9952267303102625
114,39,2015-01-21,181,1,1,240,0.9905437352245863
114,40,2015-01-21,14,239,170,0,-0.933806146572104
114,41,2015-01-22,0,239,183,0,-1.0
114,42,2015-01-22,2,240,179,0,-0.9904988123515439
114,43,2015-01-22,177,0,1,239,0.9952038369304557
114,44,2015-01-22,3,239,179,1,-0.981042654028436
114,45,2015-01-27,5,236,169,0,-0.975609756097561
114,46,2015-01-27,174,236,0,0,-0.15121951219512195
114,47,2015-01-27,174,237,0,0,-0.15328467153284672
114,48,2015-01-28,174,1,0,237,0.9951456310679612
114,49,2015-01-28,41,236,132,1,-0.7951219512195122
114,50,2015-02-02,156,221,0,2,-0.1662269129287599
114,51,2015-02-02,156,223,0,0,-0.17678100263852242
114,52,2015-02-02,155,173,1,50,0.08179419525065963
114,53,2015-02-03,0,242,176,0,-1.0
114,54,2015-02-03,0,242,178,0,-1.0
114,55,2015-02-03,109,158,67,81,-0.08433734939759036
114,56,2015-02-03,179,0,1,240,0.9952380952380953
114,57,2015-02-03,0,239,184,3,-0.9859154929577465
114,58,2015-02-04,1,241,174,0,-0.9951923076923077
114,59,2015-02-04,3,240,179,0,-0.985781990521327
114,60,2015-02-04,178,1,4,241,0.9764150943396226
114,61,2015-02-04,173,0,9,240,0.957345971563981
114,62,2015-02-04,182,2,0,239,0.9905437352245863
114,63,2015-02-04,9,241,174,0,-0.9575471698113207
114,64,2015-02-05,181,3,0,234,0.9856459330143541
114,65,2015-02-05,172,0,8,240,0.9619047619047619
114,66,2015-02-05,181,1,0,240,0.995260663507109
114,67,2015-02-05,19,241,164,0,-0.910377358490566
114,68,2015-02-10,179,235,0,0,-0.13526570048309178
114,69,2015-02-10,178,233,0,1,-0.13106796116504854
114,70,2015-02-11,0,242,183,0,-1.0
114,71,2015-02-11,6,242,177,0,-0.971764705882353
114,72,2015-02-11,103,160,76,80,-0.12649164677804295
114,73,2015-02-11,179,2,1,240,0.985781990521327
114,74,2015-02-11,29,241,152,1,-0.8581560283687943
114,75,2015-02-11,181,239,0,0,-0.1380952380952381
114,76,2015-02-12,0,232,164,0,-1.0
114,77,2015-02-12,1,232,163,0,-0.9949494949494949
114,78,2015-02-12,168,0,4,241,0.9806295399515739
114,79,2015-02-12,39,240,137,1,-0.8081534772182254
114,80,2015-02-13,173,0,2,239,0.9903381642512077
114,81,2015-02-13,33,239,142,1,-0.8361445783132531
114,82,2015-02-13,97,136,71,87,-0.058823529411764705
114,83,2015-02-24,176,199,0,37,0.03398058252427184
114,84,2015-02-24,175,236,0,0,-0.14841849148418493
114,85,2015-02-25,0,241,181,0,-1.0
114,86,2015-02-25,2,241,178,0,-0.9904988123515439
114,87,2015-02-25,180,232,0,8,-0.10476190476190476
114,88,2015-02-25,175,1,3,240,0.9809069212410502
114,89,2015-02-25,161,240,19,1,-0.23040380047505937
114,90,2015-02-26,1,223,167,0,-0.9948849104859335
114,91,2015-02-26,0,234,177,0,-1.0
114,92,2015-02-26,0,234,183,1,-0.9952153110047847
114,93,2015-02-26,103,143,77,91,-0.06280193236714976
114,94,2015-02-26,180,24,0,217,0.8859857482185273
114,95,2015-02-26,18,96,166,145,-0.23294117647058823
114,96,2015-02-26,180,2,4,239,0.971764705882353
114,97,2015-02-26,183,35,0,201,0.8329355608591885
114,98,2015-02-26,183,2,1,238,0.9858490566037735
114,99,2015-02-27,0,240,183,0,-1.0
114,100,2015-02-27,0,240,183,0,-1.0
114,101,2015-02-27,0,228,179,12,-0.9427207637231504
114,102,2015-02-27,90,136,86,100,-0.07766990291262135
114,103,2015-02-27,12,191,172,52,-0.7002341920374707
114,104,2015-02-27,180,21,0,218,0.8997613365155132
114,105,2015-02-27,174,183,5,55,0.09832134292565947
114,106,2015-03-02,173,232,0,0,-0.145679012345679
114,107,2015-03-03,0,140,181,98,-0.5322195704057279
114,108,2015-03-03,183,75,0,167,0.6470588235294118
114,109,2015-03-04,0,147,183,89,-0.5751789976133651
114,110,2015-03-04,183,1,0,232,0.9951923076923077
114,111,2015-03-04,184,132,0,101,0.3669064748201439
114,112,2015-03-16,168,221,0,10,-0.10776942355889724
114,113,2015-03-16,168,214,0,15,-0.07808564231738035
114,114,2015-03-16,166,229,0,0,-0.15949367088607594
114,115,2015-03-17,0,232,181,0,-1.0
114,116,2015-03-17,3,233,180,0,-0.9855769230769231
114,117,2015-03-17,181,234,0,0,-0.12771084337349398
114,118,2015-03-17,10,232,171,4,-0.9328537170263789
114,119,2015-03-17,179,0,2,235,0.9903846153846154
114,120,2015-03-17,2,234,181,1,-0.9856459330143541
114,121,2015-03-18,164,0,17,237,0.9186602870813397
114,122,2015-03-18,181,3,0,231,0.9855421686746988
114,123,2015-03-18,180,1,1,238,0.9904761904761905
114,124,2015-03-18,4,237,175,1,-0.9760191846522782
114,125,2015-03-19,0,233,181,0,-1.0
114,126,2015-03-19,1,232,181,0,-0.9951690821256038
114,127,2015-03-19,0,232,184,3,-0.9856801909307876
114,128,2015-03-19,94,139,76,83,-0.09693877551020408
114,129,2015-03-23,169,128,3,95,0.3367088607594937
114,130,2015-03-23,134,214,38,10,-0.2727272727272727
114,131,2015-03-24,0,238,180,0,-1.0
114,132,2015-03-24,0,237,179,1,-0.9952038369304557
114,133,2015-03-24,181,239,0,0,-0.1380952380952381
114,134,2015-03-24,107,147,67,89,-0.04390243902439024
114,135,2015-03-25,96,0,86,244,0.596244131455399
114,136,2015-03-25,120,0,62,244,0.7089201877934272
114,137,2015-03-25,0,132,182,112,-0.47417840375586856
114,138,2015-03-25,160,0,22,242,0.8962264150943396
114,139,2015-03-25,0,105,180,139,-0.3443396226415094
114,140,2015-03-25,0,219,182,26,-0.8782201405152225
114,141,2015-03-25,0,228,182,17,-0.9203747072599532
114,142,2015-03-26,172,230,7,5,-0.14492753623188406
114,143,2015-03-26,181,212,4,33,-0.004651162790697674
114,144,2015-04-13,171,230,1,0,-0.14925373134328357
114,145,2015-04-13,171,230,2,0,-0.1513647642679901
114,146,2015-04-13,171,230,0,0,-0.14713216957605985
114,147,2015-04-14,0,239,182,1,-0.995260663507109
114,148,2015-04-14,0,237,183,2,-0.990521327014218
114,149,2015-04-14,183,1,0,239,0.9952718676122931
114,150,2015-04-14,22,241,162,1,-0.892018779342723
114,151,2015-04-14,45,241,140,1,-0.7845433255269321
114,152,2015-04-14,184,3,1,238,0.9812206572769953
114,153,2015-04-15,0,240,183,0,-1.0
114,154,2015-04-15,2,240,182,0,-0.9905660377358491
114,155,2015-04-15,183,241,0,0,-0.13679245283018868
114,156,2015-04-15,27,239,157,3,-0.8591549295774648
114,157,2015-04-16,178,1,6,237,0.966824644549763
114,158,2015-04-16,34,238,152,1,-0.8352941176470589
114,159,2015-04-16,185,1,0,232,0.9952153110047847
114,160,2015-04-16,7,233,177,3,-0.9523809523809523
114,161,2015-04-21,179,231,0,0,-0.12682926829268293
114,162,2015-04-22,0,237,179,0,-1.0
114,163,2015-04-22,4,234,178,4,-0.9619047619047619
114,164,2015-04-22,180,64,1,172,0.6882494004796164
114,165,2015-04-22,182,2,0,234,0.9904306220095693
114,166,2015-04-22,4,231,179,5,-0.9570405727923628
114,167,2015-04-22,176,137,8,102,0.3144208037825059
114,168,2015-04-22,183,0,1,238,0.995260663507109
114,169,2015-04-22,105,202,79,37,-0.32860520094562645
114,170,2015-04-23,174,231,0,8,-0.11864406779661017
114,171,2015-04-23,179,1,0,238,0.9952153110047847
114,172,2015-04-23,135,220,44,19,-0.2631578947368421
114,173,2015-04-28,174,239,0,0,-0.15738498789346247
114,174,2015-04-28,172,209,0,30,-0.0170316301703163
114,175,2015-04-29,0,240,185,1,-0.9953051643192489
114,176,2015-04-29,183,240,0,0,-0.1347517730496454
114,177,2015-04-29,0,237,179,1,-0.9952038369304557
114,178,2015-04-30,2,238,174,0,-0.9903381642512077
114,179,2015-04-30,0,241,181,0,-1.0
114,180,2015-04-30,0,242,181,0,-1.0
114,181,2015-04-30,91,145,81,94,-0.09975669099756691
114,182,2015-04-30,0,226,183,14,-0.933806146572104
114,183,2015-04-30,164,27,19,210,0.780952380952381
114,184,2015-04-30,163,29,20,209,0.7672209026128266
114,185,2015-04-30,161,29,21,210,0.7624703087885986
114,186,2015-04-30,163,4,18,236,0.8954869358669834
114,187,2015-04-30,175,35,8,205,0.7966903073286052
114,188,2015-04-30,183,3,0,237,0.9858156028368794
114,189,2015-04-30,0,190,183,49,-0.7677725118483413
114,190,2015-04-30,0,186,183,52,-0.7529691211401425
114,191,2015-04-30,181,0,0,236,1.0
114,192,2015-04-30,19,236,160,4,-0.8902147971360382
114,193,2015-04-30,3,225,180,13,-0.9239904988123515
114,194,2015-04-30,0,126,182,113,-0.46318289786223277
114,195,2015-04-30,161,11,21,228,0.8479809976247031
114,196,2015-04-30,2,175,180,64,-0.6864608076009501
114,197,2015-04-30,164,9,18,230,0.8717339667458432
114,198,2015-04-30,0,139,182,100,-0.5249406175771971
114,199,2015-04-30,0,110,182,129,-0.38717339667458434
114,200,2015-04-30,133,42,49,197,0.5676959619952494
114,201,2015-04-30,176,26,6,213,0.8479809976247031
114,202,2015-04-30,149,15,33,224,0.7719714964370546
114,203,2015-04-30,136,13,46,226,0.7197149643705463
114,204,2015-04-30,0,143,182,96,-0.5439429928741093
114,205,2015-04-30,0,171,182,68,-0.6769596199524941
114,206,2015-04-30,1,231,181,8,-0.9572446555819477
114,207,2015-05-01,2,230,169,3,-0.9752475247524752
114,208,2015-05-01,1,223,174,10,-0.946078431372549
114,209,2015-05-01,3,156,171,77,-0.6068796068796068
114,210,2015-05-01,2,226,174,9,-0.9464720194647201
114,211,2015-05-01,10,229,169,5,-0.927360774818402
114,212,2015-05-01,3,225,173,10,-0.9367396593673966
114,213,2015-05-01,180,0,0,235,1.0
114,214,2015-05-01,10,230,171,7,-0.9186602870813397
114,215,2015-05-12,178,235,0,0,-0.13801452784503632
114,216,2015-05-12,167,0,11,237,0.946987951807229
