,,Date,yes_d,yes_r,no_d,no_r,polarity
113,113,2013-04-18,188,225,0,0,-0.08958837772397095
113,114,2013-04-18,190,219,0,5,-0.057971014492753624
113,115,2013-04-18,188,1,0,224,0.9951573849878934
113,116,2013-04-18,92,196,99,29,-0.4182692307692308
113,117,2013-04-23,188,221,0,0,-0.08068459657701711
113,118,2013-04-23,188,221,0,0,-0.08068459657701711
113,119,2013-04-23,132,153,51,67,-0.01240694789081886
113,120,2013-04-24,1,227,192,0,-0.9952380952380953
113,121,2013-04-24,0,225,188,1,-0.9951690821256038
113,122,2013-04-24,193,227,0,0,-0.08095238095238096
113,123,2013-04-25,15,216,177,0,-0.9264705882352942
113,124,2013-04-26,159,202,29,12,-0.14925373134328357
113,125,2013-04-26,40,47,148,164,0.022556390977443608
113,126,2013-04-26,186,0,2,209,0.9899244332493703
113,127,2013-04-26,186,208,1,0,-0.05822784810126582
113,128,2013-05-06,185,213,0,2,-0.065
113,129,2013-05-06,178,212,0,2,-0.08163265306122448
113,130,2013-05-06,185,216,0,2,-0.07196029776674938
113,131,2013-05-07,1,229,198,0,-0.9953271028037384
113,132,2013-05-07,0,228,199,0,-1.0
113,133,2013-05-07,128,165,69,62,-0.10377358490566038
113,134,2013-05-08,163,221,37,5,-0.2112676056338028
113,135,2013-05-08,199,1,0,227,0.9953161592505855
113,136,2013-05-08,3,220,197,8,-0.9485981308411215
113,137,2013-05-08,0,227,199,0,-1.0
113,138,2013-05-08,0,226,199,0,-1.0
113,139,2013-05-09,111,229,84,0,-0.47641509433962265
113,140,2013-05-09,198,2,0,227,0.990632318501171
113,141,2013-05-09,0,221,200,8,-0.9627039627039627
113,142,2013-05-09,117,147,70,70,-0.07425742574257425
113,143,2013-05-14,184,222,0,2,-0.08823529411764706
113,144,2013-05-14,190,223,0,0,-0.07990314769975787
113,145,2013-05-14,186,225,0,0,-0.0948905109489051
113,146,2013-05-15,190,225,0,1,-0.08173076923076923
113,147,2013-05-15,187,229,6,0,-0.11374407582938388
113,148,2013-05-15,193,227,0,3,-0.07328605200945626
113,149,2013-05-16,1,227,193,0,-0.995249406175772
113,150,2013-05-16,2,224,192,0,-0.9904306220095693
113,151,2013-05-16,123,154,66,66,-0.07579462102689487
113,152,2013-05-16,190,0,4,226,0.9809523809523809
113,153,2013-05-16,2,227,196,0,-0.9905882352941177
113,154,2013-05-17,1,221,181,0,-0.9950372208436724
113,155,2013-05-17,2,221,180,0,-0.9900744416873449
113,156,2013-05-17,14,219,163,0,-0.9292929292929293
113,157,2013-05-17,164,1,15,218,0.9195979899497487
113,158,2013-05-17,178,1,1,216,0.98989898989899
113,159,2013-05-17,17,218,162,0,-0.9143576826196473
113,160,2013-05-20,183,207,0,3,-0.05343511450381679
113,161,2013-05-20,184,206,0,3,-0.04834605597964377
113,162,2013-05-20,126,136,51,74,0.03359173126614987
113,163,2013-05-21,194,222,0,0,-0.0673076923076923
