,Time,Polarity
0,2015-01-02,0.07447481493213204
1,2015-01-06,0.06698669150678492
2,2015-01-07,0.10019653091940929
3,2015-01-08,0.11002714361143309
4,2015-01-09,0.08290105594476598
5,2015-01-12,0.14948084914795037
6,2015-01-13,0.06580965044413217
7,2015-01-14,0.08364218406775942
8,2015-01-20,0.07071466863366303
9,2015-01-21,0.10856863237372148
10,2015-01-22,0.08304341559077243
11,2015-01-26,0.08722417525430896
12,2015-01-27,0.10318769028017528
13,2015-01-28,0.09262358367828215
14,2015-02-02,0.10718983531319165
15,2015-02-03,0.0987582368152917
16,2015-02-04,0.10281799166388333
17,2015-02-05,0.05287421495877785
18,2015-02-10,0.09190400386227132
19,2015-02-11,0.10449662616199502
20,2015-02-12,0.10615804096750905
21,2015-02-13,0.07511081797022663
22,2015-02-17,0.1284315375982043
23,2015-02-20,0.10104861565293223
24,2015-02-24,0.11294200473066428
25,2015-02-25,0.11615968973005078
26,2015-02-26,0.10932399487498613
27,2015-02-27,0.09616243577320835
28,2015-03-02,0.11288278178908959
29,2015-03-04,0.09887392699128238
30,2015-03-13,0.11159162717219596
31,2015-03-16,0.103201491400249
32,2015-03-17,0.11039005035512894
33,2015-03-18,0.08490586604121753
34,2015-03-19,0.08461471992001153
35,2015-03-23,0.110005308123856
36,2015-03-24,0.08757199097961742
37,2015-03-25,0.1004585571380385
38,2015-03-26,0.08842818957686781
39,2015-04-13,0.09797846450290673
40,2015-04-14,0.0944919199364318
41,2015-04-15,0.09503527785279522
42,2015-04-16,0.09426516908980008
43,2015-04-17,0.16214952068455252
44,2015-04-21,0.10241048854322167
45,2015-04-22,0.08327321323032763
46,2015-04-23,0.1058376140384543
47,2015-04-28,0.10243086845127636
48,2015-04-29,0.08929503987275632
49,2015-04-30,0.09933312812236411
50,2015-05-01,0.13613397449360698
51,2015-05-08,0.12540190869736328
52,2015-05-12,0.08897462383531052
53,2015-05-13,0.09893113595523921
54,2015-05-14,0.06641402530115503
55,2015-05-15,0.1058971399316546
56,2015-05-18,0.08525058134472459
57,2015-05-19,0.10592203628547373
58,2015-05-20,0.11282285284124052
59,2015-05-21,0.09254353024727646
60,2015-05-29,0.12542985183830258
61,2015-06-01,0.10555454053688527
62,2015-06-02,0.10667683421806032
63,2015-06-03,0.09194772055096544
64,2015-06-04,0.08021165427863505
65,2015-06-09,0.0954442797540621
66,2015-06-10,0.07616304692383541
67,2015-06-11,0.11255523230254368
68,2015-06-12,0.06105259722619138
69,2015-06-15,0.09623396762137391
70,2015-06-16,0.11869051870314469
71,2015-06-17,0.1101786922890979
72,2015-06-18,0.10252243112583863
73,2015-06-19,0.15796164196711635
74,2015-06-23,0.10485317971066842
75,2015-06-24,0.09368242014601044
76,2015-06-25,0.1166293581516061
77,2015-07-07,0.09242879317114164
78,2015-07-08,0.08484888988739454
79,2015-07-09,0.0817700493182399
80,2015-07-10,0.09894476941968047
81,2015-07-13,0.10013325571855262
82,2015-07-14,0.10721217523753733
83,2015-07-15,0.0933803513519076
84,2015-07-16,0.07554843331352074
85,2015-07-20,0.08532152174536281
86,2015-07-21,0.06244905956112838
87,2015-07-22,0.09615804623842403
88,2015-07-23,0.07043439685901991
89,2015-07-27,0.08178973587498847
90,2015-07-28,0.09494398594550366
91,2015-07-29,0.08655154470154452
92,2015-09-08,0.11580044850172967
93,2015-09-09,0.10104056516605917
94,2015-09-10,0.09113139772147584
95,2015-09-11,0.08713115431865474
96,2015-09-16,0.042219693130150594
97,2015-09-17,0.065198529652367
98,2015-09-18,0.08384617612607645
99,2015-09-22,-0.012336820586820587
100,2015-09-24,0.10675588215614444
101,2015-09-25,0.08572886410974638
102,2015-09-28,0.11406075787062363
103,2015-09-29,0.08500323846397766
104,2015-09-30,0.10497524747857238
105,2015-10-01,0.06814757482173821
106,2015-10-02,0.17192229694908262
107,2015-10-06,0.09061357560965283
108,2015-10-07,0.1305044545053943
109,2015-10-08,0.08167163309780466
110,2015-10-09,0.058146041022308664
111,2015-10-20,0.1302217486025774
112,2015-10-21,0.11789828923484182
113,2015-10-22,0.09139506673773934
114,2015-10-23,0.11279470311447048
115,2015-10-26,0.13273979871743455
116,2015-10-27,0.12014410174198172
117,2015-10-28,0.10508430855810062
118,2015-10-29,0.18021845002823275
119,2015-11-02,0.07954461738075176
120,2015-11-03,0.10613834149437175
121,2015-11-04,0.10576214955824373
122,2015-11-05,0.06044546114127603
123,2015-11-16,0.08455564830028714
124,2015-11-17,0.09363759774109433
125,2015-11-18,0.08475384113298695
126,2015-11-19,0.06434932656609907
127,2015-11-30,0.09757921715626963
128,2015-12-01,0.09840981310832571
129,2015-12-02,0.10614192552570449
130,2015-12-03,0.11841636549969872
131,2015-12-07,0.1269006785176997
132,2015-12-08,0.1044193296897082
133,2015-12-09,0.10484590485550956
134,2015-12-10,0.11237901348737266
135,2015-12-11,0.12106225866590802
136,2015-12-15,0.08034589835588404
137,2015-12-16,0.11259792005214157
138,2015-12-17,0.08410946829266712
139,2015-12-18,0.13912407463337687
140,2015-12-31,0.09385928247997216
141,2016-01-05,0.12232650391687928
142,2016-01-06,0.0899738430255556
143,2016-01-07,0.1069536342526556
144,2016-01-08,0.07630580558202682
145,2016-01-11,0.10546769295464722
146,2016-01-12,0.10206009526486944
147,2016-01-13,0.12306833623852997
148,2016-01-25,0.1390127337201806
149,2016-02-01,0.0950687717083347
150,2016-02-02,0.10829968565958549
151,2016-02-03,0.09352915330256331
152,2016-02-04,0.061869277822367945
153,2016-02-09,0.10795631319486237
154,2016-02-10,0.10150892947160055
